id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,254,16,1,1,0,17,6,0,15
33,176,32,5,15,0,2,6,0,15
34,214,47,7,5,0,2,8,0,15
35,242,16,11,15,0,2,13,0,15
36,14,0,11,18,0,2,13,0,15
37,148,0,13,15,0,2,15,0,15
38,162,0,13,15,0,2,15,0,15
39,234,47,3,5,0,2,4,0,15
40,26,0,7,18,0,2,8,0,15
41,42,0,7,18,0,2,8,0,15
42,36,35,11,15,0,2,13,0,15
43,118,48,11,11,0,4,13,0,15
44,178,48,5,8,0,12,6,0,15
45,0,63,9,3,0,8,11,0,15
46,222,47,5,5,0,12,6,0,15
47,160,32,7,15,0,2,8,0,15
48,14,19,11,15,0,2,13,0,15
49,152,32,7,15,0,2,8,0,15
50,26,19,11,15,0,2,13,0,15
51,38,19,11,15,0,2,13,0,15
52,50,19,11,15,0,2,13,0,15
53,62,19,11,15,0,2,13,0,15
54,12,35,11,15,0,2,13,0,15
55,86,19,11,15,0,2,13,0,15
56,98,17,11,15,0,2,13,0,15
57,110,16,11,15,0,2,13,0,15
58,172,48,5,11,0,6,6,0,15
59,248,32,5,14,0,6,6,0,15
60,106,33,9,15,0,2,11,0,15
61,184,48,9,7,0,8,11,0,15
62,126,32,9,15,0,2,11,0,15
63,134,16,11,15,0,2,13,0,15
64,88,0,13,16,0,4,15,0,15
65,146,16,11,15,0,2,13,0,15
66,158,16,11,15,0,2,13,0,15
67,170,16,11,15,0,2,13,0,15
68,72,35,11,15,0,2,13,0,15
69,182,16,11,15,0,2,13,0,15
70,194,16,11,15,0,2,13,0,15
71,206,16,11,15,0,2,13,0,15
72,218,16,11,15,0,2,13,0,15
73,182,32,5,15,0,2,6,0,15
74,246,0,9,15,0,2,11,0,15
75,0,19,13,15,0,2,15,0,15
76,96,35,9,15,0,2,11,0,15
77,118,0,15,15,0,2,17,0,15
78,134,0,13,15,0,2,15,0,15
79,190,0,13,15,0,2,15,0,15
80,122,16,11,15,0,2,13,0,15
81,0,0,13,18,0,2,15,0,15
82,74,19,11,15,0,2,13,0,15
83,116,32,9,15,0,2,11,0,15
84,204,0,13,15,0,2,15,0,15
85,84,35,11,15,0,2,13,0,15
86,176,0,13,15,0,2,15,0,15
87,102,0,15,15,0,2,17,0,15
88,232,0,13,15,0,2,15,0,15
89,218,0,13,15,0,2,15,0,15
90,230,16,11,15,0,2,13,0,15
91,34,0,7,18,0,2,8,0,15
92,136,32,7,15,0,2,8,0,15
93,50,0,7,18,0,2,8,0,15
94,194,48,7,7,0,2,8,0,15
95,238,47,13,3,0,14,13,0,15
96,228,47,5,5,0,2,6,0,15
97,130,48,11,11,0,6,13,0,15
98,0,35,11,15,0,2,13,0,15
99,162,48,9,11,0,6,11,0,15
100,60,35,11,15,0,2,13,0,15
101,106,49,11,11,0,6,13,0,15
102,144,32,7,15,0,2,8,0,15
103,200,32,11,14,0,6,13,0,15
104,24,35,11,15,0,2,13,0,15
105,188,32,5,15,0,2,6,0,15
106,66,0,7,18,0,2,8,0,15
107,48,35,11,15,0,2,13,0,15
108,194,32,5,15,0,2,6,0,15
109,0,51,17,11,0,6,19,0,15
110,58,51,11,11,0,6,13,0,15
111,82,51,11,11,0,6,13,0,15
112,212,32,11,14,0,6,13,0,15
113,224,32,11,14,0,6,13,0,15
114,142,48,9,11,0,6,11,0,15
115,152,48,9,11,0,6,11,0,15
116,168,32,7,15,0,2,8,0,15
117,34,51,11,11,0,6,13,0,15
118,46,51,11,11,0,6,13,0,15
119,18,51,15,11,0,6,17,0,15
120,70,51,11,11,0,6,13,0,15
121,236,32,11,14,0,6,13,0,15
122,94,51,11,11,0,6,13,0,15
123,74,0,7,18,0,2,8,0,15
124,82,0,5,18,0,2,6,0,15
125,58,0,7,18,0,2,8,0,15
126,202,47,11,5,0,2,13,0,15
