id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,254,0,1,1,0,14,5,0,15
33,250,14,4,13,0,1,5,0,15
34,59,44,6,5,0,1,7,0,15
35,160,14,9,13,0,1,10,0,15
36,12,0,9,15,0,1,10,0,15
37,116,0,11,13,0,1,12,0,15
38,128,0,11,13,0,1,12,0,15
39,71,44,2,5,0,1,3,0,15
40,22,0,6,15,0,1,7,0,15
41,43,0,6,15,0,1,7,0,15
42,200,14,9,13,0,1,10,0,15
43,135,28,9,10,0,3,10,0,15
44,44,44,4,6,0,10,5,0,15
45,91,40,7,2,0,7,8,0,15
46,74,44,4,4,0,10,5,0,15
47,68,30,6,13,0,1,7,0,15
48,224,0,9,13,0,1,10,0,15
49,54,30,6,13,0,1,7,0,15
50,234,0,9,13,0,1,10,0,15
51,244,0,9,13,0,1,10,0,15
52,0,16,9,13,0,1,10,0,15
53,10,16,9,13,0,1,10,0,15
54,90,14,9,13,0,1,10,0,15
55,30,16,9,13,0,1,10,0,15
56,40,16,9,13,0,1,10,0,15
57,50,16,9,13,0,1,10,0,15
58,24,44,4,9,0,5,5,0,15
59,130,28,4,11,0,5,5,0,15
60,8,30,7,13,0,1,8,0,15
61,29,44,7,6,0,7,8,0,15
62,32,30,7,13,0,1,8,0,15
63,70,16,9,13,0,1,10,0,15
64,152,0,11,13,0,3,12,0,15
65,80,14,9,13,0,1,10,0,15
66,210,14,9,13,0,1,10,0,15
67,100,14,9,13,0,1,10,0,15
68,220,14,9,13,0,1,10,0,15
69,110,14,9,13,0,1,10,0,15
70,120,14,9,13,0,1,10,0,15
71,130,14,9,13,0,1,10,0,15
72,140,14,9,13,0,1,10,0,15
73,75,30,4,13,0,1,5,0,15
74,0,30,7,13,0,1,8,0,15
75,104,0,11,13,0,1,12,0,15
76,16,30,7,13,0,1,8,0,15
77,90,0,13,13,0,1,14,0,15
78,212,0,11,13,0,1,12,0,15
79,164,0,11,13,0,1,12,0,15
80,60,16,9,13,0,1,10,0,15
81,0,0,11,15,0,1,12,0,15
82,20,16,9,13,0,1,10,0,15
83,24,30,7,13,0,1,8,0,15
84,176,0,11,13,0,1,12,0,15
85,230,14,9,13,0,1,10,0,15
86,140,0,11,13,0,1,12,0,15
87,76,0,13,13,0,1,14,0,15
88,200,0,11,13,0,1,12,0,15
89,188,0,11,13,0,1,12,0,15
90,150,14,9,13,0,1,10,0,15
91,29,0,6,15,0,1,7,0,15
92,40,30,6,13,0,1,7,0,15
93,50,0,6,15,0,1,7,0,15
94,37,44,6,6,0,1,7,0,15
95,79,44,11,2,0,12,10,0,15
96,66,44,4,5,0,1,5,0,15
97,194,28,9,9,0,5,10,0,15
98,170,14,9,13,0,1,10,0,15
99,16,44,7,9,0,5,8,0,15
100,180,14,9,13,0,1,10,0,15
101,244,28,9,9,0,5,10,0,15
102,47,30,6,13,0,1,7,0,15
103,90,28,9,11,0,5,10,0,15
104,190,14,9,13,0,1,10,0,15
105,80,28,4,13,0,1,5,0,15
106,57,0,6,15,0,1,7,0,15
107,240,14,9,13,0,1,10,0,15
108,85,28,4,13,0,1,5,0,15
109,145,28,14,9,0,5,15,0,15
110,174,28,9,9,0,5,10,0,15
111,184,28,9,9,0,5,10,0,15
112,100,28,9,11,0,5,10,0,15
113,110,28,9,11,0,5,10,0,15
114,0,44,7,9,0,5,8,0,15
115,8,44,7,9,0,5,8,0,15
116,61,30,6,13,0,1,7,0,15
117,204,28,9,9,0,5,10,0,15
118,214,28,9,9,0,5,10,0,15
119,160,28,13,9,0,5,14,0,15
120,224,28,9,9,0,5,10,0,15
121,120,28,9,11,0,5,10,0,15
122,234,28,9,9,0,5,10,0,15
123,64,0,6,15,0,1,7,0,15
124,71,0,4,15,0,1,5,0,15
125,36,0,6,15,0,1,7,0,15
126,49,44,9,5,0,1,10,0,15
